"SIC87_4","Desc_4_Digit","SIC87_2","Desc_2_Digit","SIC87_1","Desc_1_Digit"
"2393","Textile Bags","23","Apparel and other textile products","D","Manufacturing"
"2394","Canvas and Related Products","23","Apparel and other textile products","D","Manufacturing"
"2395","Pleating, Decorative and Novelty Stitching,","23","Apparel and other textile products","D","Manufacturing"
"2396","Automotive Trimmings, Apparel Findings, and","23","Apparel and other textile products","D","Manufacturing"
"2397","Schiffli Machine Embroideries","23","Apparel and other textile products","D","Manufacturing"
"2399","Fabricated Textile Products, NEC","23","Apparel and other textile products","D","Manufacturing"
"2411","Logging","24","Lumber and wood products","D","Manufacturing"
"2421","Sawmills and Planing Mills, General","24","Lumber and wood products","D","Manufacturing"
"2426","Hardwood Dimension and Flooring Mills","24","Lumber and wood products","D","Manufacturing"
"2429","Special Product Sawmills, NEC","24","Lumber and wood products","D","Manufacturing"
"2431","Millwork","24","Lumber and wood products","D","Manufacturing"
"2434","Wood Kitchen Cabinets","24","Lumber and wood products","D","Manufacturing"
"2435","Hardwood Veneer and Plywood","24","Lumber and wood products","D","Manufacturing"
"2436","Softwood Veneer and Plywood","24","Lumber and wood products","D","Manufacturing"
"2439","Structural Wood Members, NEC","24","Lumber and wood products","D","Manufacturing"
"2441","Nailed and Lock Corner Wood Boxes and Shook","24","Lumber and wood products","D","Manufacturing"
"2448","Wood Pallets and Skids","24","Lumber and wood products","D","Manufacturing"
"2449","Wood Containers, NEC","24","Lumber and wood products","D","Manufacturing"
"2451","Mobile Homes","24","Lumber and wood products","D","Manufacturing"
"2452","Prefabricated Wood Buildings and Components","24","Lumber and wood products","D","Manufacturing"
"2491","Wood Preserving","24","Lumber and wood products","D","Manufacturing"
"2493","Reconstituted Wood Products","24","Lumber and wood products","D","Manufacturing"
"2499","Wood Products, NEC","24","Lumber and wood products","D","Manufacturing"
"2511","Wood Household Furniture, Except Upholstered","25","Furniture and fixtures","D","Manufacturing"
"2512","Wood Household Furniture, Upholstered","25","Furniture and fixtures","D","Manufacturing"
